period,ly,lg_r,r,r10,e,lpsi,l_g_r_ratio,q,psigr,s,lg,rat,ratio,gr_ham,r_ham,r10_ham,e_ham,psi_ham,ratio_ham,q_ham,psigr_ham,s_ham,g_ham,rat_ham
2005-01-01,4.509286842,5.30399124,3.063333333,4.296666667,94.7,4.655321328,0.685026636,100.7153217,63.9607995,1.233333333,4.618964604,1.1762372689619198,1.148307401058404,22.45838510262521,0.9731238808579397,-0.05724734920377106,0.5977181723340976,-2.8047733296727273,0.009080860980580807,8.009032385965668,-1.1158639938136403,0.13514051981595276,11.911085341530825,0.024102068366156804
2005-04-01,4.514139835,5.322287767,3.336666667,4.16,94.9,4.655083529,0.716717661,100.2926715,63.6437019,0.823333333,4.605570106,1.179025896746506,1.1556197483708437,23.383207486141444,1.3488942133271569,0.23910837565729093,0.8841626852124591,-2.7019492782207166,0.015193126052526429,-1.586430748254088,-1.5943704170850097,-0.28056356818155603,10.17581446185103,0.028539123160171487
2005-07-01,4.521962475,5.333187283,3.786666667,4.213333333,95.03333333,4.65143335,0.714489015,99.80180221,63.6351473,0.426666667,4.618698267,1.179396625355676,1.1546948890567135,16.417551099122285,1.7302859347236774,-0.2489559123442131,1.015745840888954,-2.549287637768849,0.010771359214067244,-5.805160822368762,-1.4982374204421518,-1.0079443595801547,8.598130544999538,0.01632997768368183
2005-10-01,4.527630177,5.331220086,4.286666667,4.49,95.03333333,4.648229675,0.68053175,95.84634598,62.8430707,0.203333333,4.650688336,1.1774857657505184,1.1463292529693179,15.576367509675215,2.1884441993908106,0.15513120893032006,0.8740723317291526,-2.60562722340536,0.003476140101337233,-14.944062672109695,-2.344642369545369,-1.0529657045972423,9.388588163498834,0.013871400041780113
2006-01-01,4.541026254,5.321809259,4.633333333,4.57,95.26666667,4.654255545,0.656381577,98.79259255,62.9473182,-0.063333333,4.665427682,1.1719397689701179,1.1406905479496403,15.982126872351543,2.603349990986827,0.5199283367139396,1.1020091355469788,-1.6006725126231025,-0.004208025708423158,-10.273107716084752,-1.928578659085332,-1.3317174017051516,11.36851266703891,0.012146288970686703
2006-04-01,4.543475617,5.270478434,5.02,5.07,95.36666667,4.647999764,0.611521066,92.86481807,62.4987399,0.05,4.658957368,1.1600102824982321,1.131257064123451,6.250747010211466,2.4896278021376506,0.3199030564018157,1.192840027128554,-2.1153722022284605,-0.012493299911730427,-14.440631323877696,-2.317912999958871,-1.0671841552614747,6.267733235560069,-0.008444502703193857
2006-07-01,4.544984843,5.213521715,5.09,4.896666667,95.36666667,4.647817713,0.558428673,92.72763779,62.2778313,-0.193333333,4.655093042,1.1470933116596973,1.1199607973378076,1.5194992988738498,2.4136262670428175,0.5369246929529403,1.108387455924671,-2.6455954930682424,-0.021520702072328035,-9.045420713968952,-2.492516541782848,-0.9639941923353695,4.079211189438858,-0.017329743177983525
2006-10-01,4.553382032,5.165876807,4.986666667,4.63,95.56666667,4.656366976,0.530381123,94.63789766,63.0416116,-0.356666667,4.635495685,1.1345142513181508,1.1144173477965387,-4.460443081549936,1.964397884064942,0.3493481507715135,1.3115425884719656,-1.2810187436460119,-0.026582211895323393,-11.003662989774071,-1.5660554273253027,-1.0221831288734444,0.8658044531586029,-0.029404549069464547
2007-01-01,4.55631602,5.119770676,5.01,4.68,95.5,4.670302281,0.491176975,95.86778771,63.7815256,-0.33,4.628593701,1.1236645249202886,1.1061179716193024,-12.307995561418839,1.5240427173520388,0.1469863644817302,1.1925456477132315,1.0355337389541752,-0.03279008136263206,-8.003234860759022,-0.18701148927686262,-0.7550515372286344,-3.1849447497974026,-0.04585963417111327
2007-04-01,4.562680134,5.079570386,4.933333333,4.846666667,95.5,4.659753064,0.440008435,97.22824009,63.1187383,-0.086666667,4.639561951,1.1132865414229365,1.0948383575102736,-17.434320843304363,1.286013474736905,0.5305837496056389,1.1013951806531423,0.18904185618779934,-0.048816727366655543,-6.747700900453125,-0.5454485785145309,-0.5348445788498404,-0.7948877104571039,-0.05867799094995152
2007-07-01,4.568682535,5.013896637,4.523333333,4.73,95.33333333,4.650535444,0.384472959,97.60491772,63.6530741,0.206666667,4.629423678,1.0974491220585543,1.0830498536625837,-24.119854626766468,0.47754626221551266,0.35962054967820833,0.9035008056843736,-0.40503170360057794,-0.0587150809047392,-5.467277781592784,-0.010552080064961444,-0.23487297932279996,-3.7730332568204794,-0.07232693529579182
2007-10-01,4.574762524,4.927087005,3.62,4.26,95.2,4.652053772,0.310047538,94.49455067,64.1009388,0.64,4.617039467,1.077014813151862,1.0671528888189163,-31.587136337127486,-0.7890095875703942,-0.35887280896913776,0.778888203705705,0.18101667343772831,-0.06753219600610416,-5.234545414903252,1.121226681801481,0.12117835064557825,-8.68723555062374,-0.08902661169063464
2008-01-01,4.5706822560000004,4.844187086,2.1,3.663333333,95,4.666359354,0.253815867,94.23748765,64.4676176,1.563333333,4.590371219,1.0598389506601482,1.0552931026469996,-38.477473912295324,-2.560624948481751,-0.9324250165151633,0.47241186944779656,1.3433607642000744,-0.07859771132281979,-7.838028184658825,1.4370032279393499,1.0437690705192098,-11.393747641746454,-0.09938205435171255
2008-04-01,4.576389981,4.797829787,2.073333333,3.886666667,94.66666667,4.652511682,0.225751136,93.94920409,64.2487336,1.813333333,4.572078651,1.0483874422676742,1.049376039484934,-35.39455871215962,-2.903610267522989,-1.1452767553548817,0.0983202622102084,0.2195054064943136,-0.07838327910349596,-2.9978532997136824,1.5774468032888862,1.0627594368471325,-12.61158794446331,-0.0963097405710931
2008-07-01,4.571106552,4.745766563,2.123333333,3.863333333,94,4.650984498,0.193944412,90.40503764,63.8972308,1.74,4.55182215,1.038209568955154,1.0426080823478572,-35.077463234312575,-2.8685287074695283,-0.965950024961157,-0.5442649784501725,0.2669607043957356,-0.07520616267548808,-6.4650102469936,1.4486416436113885,1.0904108160574082,-15.520429572078509,-0.09554837421464213
2008-10-01,4.549033603,4.643371149,0.993333333,3.253333333,93.13333333,4.667130386,0.192693367,80.3314689,65.1884342,2.26,4.4506777810000004,1.0207379312251699,1.0432952861298137,-42.670020338954814,-3.932750676355518,-1.4227381478607115,-1.5102036699680355,1.3178980484903846,-0.07006593708028763,-17.74808399646868,2.0718875532495247,1.5479797103775081,-24.61636830134797,-0.10476927493473398
2009-01-01,4.537308817,4.541367394,0.566666667,2.736666667,91.73333333,4.630145685,0.213493401,76.42349866,63.5606583,2.17,4.327873993,1.0008944899198382,1.0493298560321556,-49.22733369818344,-4.396690657067061,-2.1474796592455756,-2.8819389478030075,-3.281107143681883,-0.05593543607497331,-23.293983940162292,-0.2377572828677046,1.4806609903428556,-36.4695205540948,-0.11706446865062481
2009-04-01,4.535605723,4.477927549,0.52,3.313333333,90.7,4.63980347,0.20943362,91.59558163,63.7421863,2.793333333,4.268493929,0.9872832478124114,1.0490649918879151,-52.493373708511456,-4.3581638429075085,-1.6549406826188955,-3.90414108623078,-2.025129696277883,-0.04514993337869422,-9.476487475702868,0.5106077813078826,1.9034174811921005,-43.506749726635974,-0.12219046728550764
2009-07-01,4.539222673,4.523341718,0.446666667,3.516666667,90.36666667,4.631179005,0.257132864,99.86174585,63.2901578,3.07,4.266208854,0.9965013932683976,1.0602719821742699,-40.24585296306063,-4.097170836377257,-1.2554609572163704,-4.197530042407621,-2.224446617868381,-0.024946022704182225,-1.5301561133124295,-0.35668268883016196,2.000011976787757,-41.952388383194084,-0.09468482650009402
2009-10-01,4.549847733,4.521266702,0.35,3.46,90.06666667,4.621053378,0.166624111,105.44973,62.8460535,3.11,4.354642591,0.9937182445046013,1.0382635560825064,-30.996982830613362,-3.480370850951938,-0.9503292740823976,-4.44658127262808,-3.305203929497491,-0.034269818308841016,6.798383478093811,-1.2420223158857482,1.8382242468884806,-31.884516840318966,-0.07593805006905097
2010-01-01,4.554834328,4.488490292,0.366666667,3.716666667,90.16666667,4.604269781,0.111350579,107.4342134,62.2785094,3.35,4.377139713,0.985434369019272,1.0254391192196335,-27.783949462659407,-2.273012216294374,-0.31914070364642644,-4.286789476533002,-5.69821948141378,-0.03663940096094764,9.290223729146746,-2.1265944712607237,1.7052429690553288,-28.056459017428104,-0.07369537388689018
